Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsInCurrentRole,ChangeCompanyRate,Satisfaction
31.0,Yes,Travel_Frequently,10,3,Life Sciences,Female,Research Scientist,Single,5986.83193277311,Yes,20,4.0,0,3,2.0,0,6.25,13
34.0,No,Travel_Rarely,19,2,Medical,Male,Laboratory Technician,Married,5986.83193277311,Yes,15,3.0,1,15,2.0,2,8.0625,17
37.0,No,Travel_Rarely,5,2,Life Sciences,Male,Sales Executive,Married,3904.0,No,14,3.0,1,10,2.0,8,1.0909090909090908,14
31.0,No,Travel_Frequently,1,4,Life Sciences,Female,Manager,Married,5238.0,No,14,4.0,1,34,3.0,18,0.02857142857142857,12
29.0,No,Travel_Frequently,18,4,Life Sciences,Female,Research Director,Divorced,3180.0,Yes,17,3.0,1,31,3.0,9,1.03125,15
31.0,No,Travel_Rarely,6,2,Marketing,Male,Sales Representative,Married,5986.83193277311,Yes,20,3.0,1,13,2.0,7,2.0714285714285716,13
40.0,Yes,Travel_Rarely,10,1,Medical,Male,Research Scientist,Single,5986.83193277311,Yes,11,3.0,0,1,3.0,0,1.5,17
29.0,No,Travel_Rarely,1,3,Other,Male,Manager,Married,3983.0,No,11,3.0,1,25,2.0,0,0.038461538461538464,17
27.0,No,Travel_Rarely,2,3,Marketing,Female,Manager,Married,2394.0,No,23,3.0,0,28,2.0,15,8.03448275862069,11
40.0,No,Travel_Rarely,13,2,Life Sciences,Male,Sales Representative,Married,2809.0,No,13,3.0,1,1,2.0,0,1.5,15
27.0,No,Travel_Rarely,4,1,Life Sciences,Female,Laboratory Technician,Married,3839.7428571428572,No,17,3.0,0,6,5.0,2,0.14285714285714285,13
27.0,No,Travel_Rarely,8,1,Life Sciences,Male,Research Scientist,Married,3839.7428571428572,No,23,3.0,1,10,3.0,7,1.0909090909090908,14
42.0,Yes,Travel_Rarely,25,3,Life Sciences,Male,Laboratory Technician,Single,4907.0,No,12,4.0,0,1,3.0,0,1.5,10
34.0,No,Travel_Rarely,1,3,Technical Degree,Male,Research Scientist,Married,9713.0,No,16,3.0,1,7,2.0,2,2.125,12
49.0,No,Travel_Rarely,19,3,Technical Degree,Male,Manufacturing Director,Divorced,19502.0,No,12,3.0,2,8,5.0,2,4.111111111111111,17
39.0,No,Travel_Rarely,1,3,Life Sciences,Male,Healthcare Representative,Married,19431.0,No,13,3.0,1,12,3.0,2,4.076923076923077,15
59.0,No,Travel_Rarely,7,4,Medical,Female,Manager,Single,10545.035714285714,No,14,3.0,0,21,2.0,8,1.0454545454545454,11
38.0,No,Travel_Rarely,1,3,Marketing,Male,Sales Executive,Single,5986.83193277311,No,21,3.0,0,14,3.0,8,1.0666666666666667,11
37.0,No,Travel_Rarely,3,3,Life Sciences,Male,Laboratory Technician,Married,3420.0,No,15,3.0,1,9,2.0,3,4.1,14
52.0,No,Travel_Frequently,2,2,Other,Female,Manager,Married,10545.035714285714,Yes,11,4.0,1,26,3.0,14,1.037037037037037,15
28.0,Yes,Travel_Rarely,1,4,Other,Female,Research Scientist,Single,3839.7428571428572,Yes,13,3.0,0,10,2.0,9,1.0909090909090908,16
34.0,No,Travel_Rarely,2,1,Technical Degree,Male,Laboratory Technician,Married,7083.0,No,14,3.0,1,3,3.0,1,0.25,16
56.0,No,Travel_Rarely,7,4,Life Sciences,Male,Laboratory Technician,Divorced,7260.0,No,22,3.0,1,10,2.0,7,3.090909090909091,17
37.0,No,Travel_Frequently,3,4,Life Sciences,Female,Research Scientist,Married,4364.0,Yes,11,3.0,0,8,2.0,7,1.1111111111111112,16
37.0,No,Travel_Rarely,14,3,Life Sciences,Male,Research Scientist,Married,6582.0,Yes,14,3.0,2,9,2.0,7,1.1,11
42.0,No,Travel_Rarely,2,2,Medical,Male,Manufacturing Director,Divorced,5155.0,No,14,3.0,1,15,3.0,7,2.0625,15
41.0,No,Travel_Rarely,21,4,Life Sciences,Male,Manufacturing Director,Divorced,6870.0,No,11,3.0,1,10,3.0,9,1.0909090909090908,13
19.0,No,Travel_Frequently,6,3,Life Sciences,Female,Manufacturing Director,Single,2325.0,No,18,4.0,0,9,5.0,0,4.1,14
37.0,No,Travel_Rarely,7,3,Life Sciences,Female,Healthcare Representative,Divorced,5986.83193277311,Yes,11,3.0,2,6,2.0,0,1.1428571428571428,15
46.0,No,Travel_Rarely,23,3,Life Sciences,Female,Research Scientist,Divorced,9228.730569948186,No,22,3.0,2,3,2.0,2,1.25,11
32.0,No,Travel_Frequently,11,4,Marketing,Male,Sales Executive,Single,4648.0,No,12,3.0,0,8,2.0,1,3.111111111111111,18
50.0,No,Travel_Rarely,10,4,Life Sciences,Male,Laboratory Technician,Single,2380.0,No,19,3.0,0,9,5.0,7,0.1,14
48.0,No,Travel_Rarely,1,3,Other,Male,Manufacturing Director,Married,9228.730569948186,No,15,3.0,1,10,2.0,7,0.09090909090909091,12
23.0,No,Travel_Rarely,11,2,Other,Male,Manufacturing Director,Divorced,2322.0,No,18,3.0,1,5,3.0,2,0.16666666666666666,14
37.0,No,Travel_Rarely,9,1,Life Sciences,Female,Sales Executive,Divorced,3931.0,Yes,13,3.0,1,12,5.0,7,3.076923076923077,15
39.0,Yes,Travel_Frequently,3,3,Life Sciences,Male,Research Scientist,Single,19272.0,No,12,3.0,0,7,2.0,2,1.125,12
24.0,No,Travel_Rarely,2,4,Marketing,Female,Sales Executive,Married,4999.0,Yes,20,4.0,0,8,2.0,7,1.1111111111111112,11
31.0,No,Travel_Frequently,2,2,Medical,Female,Manufacturing Director,Married,9637.0,No,12,3.0,0,8,3.0,7,1.1111111111111112,17
20.0,No,Travel_Rarely,12,4,Life Sciences,Male,Manufacturing Director,Married,3033.0,Yes,12,3.0,2,7,2.0,2,9.125,14
37.0,No,Travel_Frequently,16,4,Marketing,Female,Sales Executive,Married,5986.83193277311,No,13,3.0,2,11,3.0,2,4.083333333333333,9
37.0,No,Travel_Rarely,4,3,Medical,Male,Sales Executive,Married,5986.83193277311,No,15,3.0,0,5,2.0,4,1.1666666666666667,14
35.0,No,Travel_Rarely,11,3,Life Sciences,Male,Human Resources,Married,5098.0,No,11,3.0,2,14,5.0,9,4.066666666666666,15
42.0,Yes,Travel_Rarely,5,3,Marketing,Male,Sales Executive,Single,13348.0,Yes,11,3.0,0,6,3.0,4,1.1428571428571428,15
30.0,Yes,Non-Travel,1,2,Life Sciences,Female,Sales Executive,Single,8412.0,Yes,11,3.0,0,8,3.0,4,8.11111111111111,11
23.0,No,Travel_Rarely,17,3,Life Sciences,Female,Research Scientist,Single,3295.0,No,13,3.0,0,6,3.0,0,2.142857142857143,15
46.0,No,Travel_Rarely,1,1,Life Sciences,Male,Manufacturing Director,Married,16606.0,No,16,3.0,1,21,2.0,6,1.0454545454545454,16
42.0,No,Travel_Rarely,1,3,Life Sciences,Male,Research Scientist,Divorced,4272.0,No,14,3.0,1,1,3.0,0,1.5,11
37.0,No,Travel_Rarely,2,3,Medical,Male,Manufacturing Director,Divorced,5986.83193277311,No,18,3.0,1,13,2.0,1,5.071428571428571,14
32.0,Yes,Travel_Rarely,1,2,Medical,Male,Research Scientist,Divorced,9204.0,Yes,12,3.0,3,6,2.0,3,1.1428571428571428,13
49.0,No,Travel_Rarely,15,2,Life Sciences,Male,Research Director,Married,9228.730569948186,No,11,4.0,1,25,2.0,2,5.038461538461538,13
40.0,Yes,Travel_Rarely,9,4,Life Sciences,Female,Sales Representative,Single,6377.0,No,23,3.0,0,10,2.0,3,7.090909090909091,11
45.0,No,Travel_Rarely,1,3,Marketing,Female,Sales Executive,Married,9228.730569948186,No,16,3.0,1,10,3.0,7,1.0909090909090908,13
29.0,No,Travel_Rarely,5,4,Life Sciences,Female,Research Scientist,Divorced,3339.0,No,12,3.0,1,10,2.0,4,9.090909090909092,12
18.0,No,Non-Travel,25,3,Life Sciences,Male,Research Scientist,Single,3839.7428571428572,Yes,12,3.0,0,1,2.0,0,1.5,17
35.0,No,Travel_Rarely,1,4,Life Sciences,Male,Laboratory Technician,Divorced,5986.83193277311,No,16,3.0,1,8,2.0,2,3.111111111111111,11
31.0,Yes,Travel_Rarely,1,2,Life Sciences,Female,Laboratory Technician,Married,11031.0,Yes,11,4.0,1,1,2.0,0,1.5,12
38.0,No,Travel_Rarely,19,2,Medical,Male,Sales Executive,Single,2899.0,Yes,13,3.0,0,10,3.0,0,1.0909090909090908,13
29.0,Yes,Travel_Rarely,3,3,Medical,Female,Laboratory Technician,Married,3839.7428571428572,No,13,3.0,1,6,3.0,2,5.142857142857143,11
37.0,Yes,Travel_Rarely,25,5,Technical Degree,Male,Research Scientist,Married,5986.83193277311,No,16,3.0,0,6,2.0,2,5.142857142857143,13
25.0,No,Travel_Rarely,6,3,Medical,Female,Research Scientist,Single,6180.0,Yes,14,3.0,0,20,2.0,7,1.0476190476190477,8
37.0,No,Travel_Rarely,2,4,Medical,Female,Research Scientist,Single,17875.0,Yes,14,3.0,0,6,2.0,4,0.14285714285714285,14
37.0,Yes,Travel_Frequently,9,4,Life Sciences,Male,Laboratory Technician,Married,5689.0,No,17,3.0,1,11,2.0,1,4.083333333333333,13
34.0,Yes,Travel_Rarely,24,3,Technical Degree,Male,Laboratory Technician,Single,5429.0,Yes,18,3.0,0,1,1.0,0,1.5,11
45.0,No,Travel_Rarely,1,3,Medical,Female,Healthcare Representative,Divorced,9228.730569948186,No,17,3.0,3,19,2.0,10,0.05,14
37.0,No,Travel_Rarely,8,3,Life Sciences,Male,Sales Executive,Married,8321.0,No,22,3.0,1,4,1.0,2,0.2,16
37.0,No,Travel_Rarely,2,2,Marketing,Female,Sales Executive,Married,5986.83193277311,No,14,3.0,1,15,5.0,8,3.0625,13
37.0,Yes,Travel_Rarely,24,4,Medical,Male,Sales Executive,Single,6833.0,Yes,23,3.0,0,16,2.0,9,0.058823529411764705,12
34.0,No,Travel_Rarely,1,3,Medical,Female,Research Scientist,Single,11994.0,No,18,3.0,0,2,4.0,2,1.3333333333333333,15
25.0,No,Travel_Rarely,8,2,Marketing,Male,Sales Executive,Married,5744.0,Yes,11,3.0,1,16,1.0,2,4.0588235294117645,13
29.0,No,Travel_Frequently,1,3,Medical,Female,Laboratory Technician,Married,5765.0,No,15,3.0,1,5,4.0,2,2.1666666666666665,14
37.0,No,Travel_Rarely,2,2,Medical,Female,Manufacturing Director,Married,6244.0,Yes,19,3.0,1,10,6.0,4,3.090909090909091,17
28.0,No,Travel_Frequently,24,2,Technical Degree,Male,Research Scientist,Divorced,3839.7428571428572,No,17,3.0,2,9,3.0,8,1.1,12
18.0,No,Non-Travel,2,2,Other,Female,Manufacturing Director,Divorced,1611.0,No,19,3.0,2,10,5.0,7,1.0909090909090908,14
47.0,No,Travel_Rarely,4,1,Marketing,Female,Sales Executive,Divorced,2105.0,Yes,13,3.0,1,23,2.0,14,0.041666666666666664,17
50.0,No,Travel_Rarely,2,3,Medical,Female,Research Director,Married,13269.0,No,12,3.0,3,34,3.0,0,8.028571428571428,11
29.0,No,Travel_Rarely,6,3,Life Sciences,Female,Sales Executive,Married,4193.0,No,11,3.0,3,36,3.0,7,9.027027027027026,14
41.0,Yes,Travel_Rarely,16,3,Life Sciences,Female,Sales Executive,Single,2778.0,Yes,20,3.0,0,11,1.0,0,2.0833333333333335,10
40.0,No,Travel_Rarely,5,2,Marketing,Male,Manager,Married,2345.0,No,13,3.0,0,21,2.0,0,6.045454545454546,16
29.0,No,Travel_Rarely,20,3,Life Sciences,Male,Laboratory Technician,Divorced,3839.7428571428572,No,11,3.0,1,10,2.0,8,1.0909090909090908,12
30.0,No,Travel_Rarely,1,1,Life Sciences,Male,Sales Executive,Single,2206.0,No,11,3.0,0,20,5.0,3,7.0476190476190474,12
51.0,No,Travel_Rarely,7,4,Medical,Female,Research Scientist,Married,13734.0,Yes,22,3.0,1,16,6.0,3,5.0588235294117645,14
37.0,No,Travel_Rarely,2,3,Life Sciences,Female,Research Scientist,Married,6125.0,No,23,3.0,1,6,2.0,4,0.14285714285714285,15
34.0,No,Travel_Rarely,9,2,Life Sciences,Female,Research Scientist,Married,4538.0,Yes,13,3.0,0,8,3.0,7,1.1111111111111112,13
39.0,No,Travel_Rarely,19,4,Medical,Male,Research Scientist,Married,9991.0,No,18,3.0,1,5,5.0,3,0.16666666666666666,15
44.0,No,Travel_Rarely,20,4,Life Sciences,Male,Research Scientist,Single,2436.0,No,12,3.0,0,20,2.0,3,3.0476190476190474,16
43.0,No,Non-Travel,23,3,Life Sciences,Male,Manufacturing Director,Single,2438.0,No,21,3.0,0,10,2.0,7,0.09090909090909091,14
33.0,Yes,Travel_Rarely,1,4,Medical,Female,Research Scientist,Married,5986.83193277311,Yes,14,3.0,3,4,2.0,2,9.2,14
29.0,No,Travel_Rarely,6,2,Medical,Male,Laboratory Technician,Single,4723.0,No,14,3.0,0,8,3.0,0,0.1111111111111111,11
58.0,No,Travel_Frequently,20,3,Life Sciences,Male,Sales Executive,Divorced,2380.0,No,18,3.0,1,7,3.0,1,2.125,17
27.0,Yes,Travel_Rarely,21,3,Medical,Female,Laboratory Technician,Divorced,3839.7428571428572,No,20,3.0,1,1,2.0,1,1.5,12
37.0,Yes,Travel_Rarely,1,1,Technical Degree,Male,Sales Representative,Single,10855.0,Yes,11,3.0,0,3,2.0,2,1.25,11
30.0,No,Travel_Rarely,12,3,Marketing,Male,Sales Executive,Single,5294.0,No,11,3.0,0,16,3.0,2,4.0588235294117645,17
32.0,No,Travel_Rarely,11,3,Life Sciences,Female,Healthcare Representative,Married,3312.0,No,17,3.0,1,10,3.0,9,1.0909090909090908,12
34.0,No,Travel_Frequently,1,4,Medical,Female,Healthcare Representative,Divorced,4444.0,No,16,3.0,1,17,2.0,2,7.055555555555555,14
35.0,No,Travel_Rarely,9,4,Life Sciences,Male,Healthcare Representative,Single,10221.0,No,19,4.0,0,10,3.0,1,9.090909090909092,13
32.0,No,Travel_Rarely,24,3,Medical,Male,Sales Representative,Married,5986.83193277311,No,13,3.0,2,3,5.0,2,0.25,17
36.0,No,Travel_Rarely,15,3,Medical,Female,Laboratory Technician,Single,5986.83193277311,No,15,3.0,0,1,3.0,0,1.5,15
37.0,No,Non-Travel,2,3,Life Sciences,Female,Sales Executive,Divorced,5093.0,Yes,12,3.0,1,13,2.0,6,4.071428571428571,14
37.0,Yes,Travel_Rarely,1,3,Medical,Male,Laboratory Technician,Divorced,2936.0,No,15,3.0,2,1,4.0,0,1.5,9
43.0,No,Travel_Rarely,1,3,Technical Degree,Male,Research Scientist,Single,7510.0,No,11,3.0,0,5,1.0,2,2.1666666666666665,12
39.0,No,Travel_Rarely,6,3,Life Sciences,Female,Laboratory Technician,Married,5986.83193277311,No,11,4.0,1,16,2.0,13,0.058823529411764705,17
56.0,No,Travel_Frequently,9,4,Medical,Female,Laboratory Technician,Married,13212.0,No,17,3.0,1,9,2.0,3,9.1,16
52.0,No,Travel_Rarely,29,1,Medical,Female,Manager,Married,10545.035714285714,No,21,3.0,1,15,2.0,0,3.0625,10
50.0,No,Travel_Rarely,2,1,Life Sciences,Male,Manufacturing Director,Married,10496.0,No,18,3.0,1,23,2.0,2,3.0416666666666665,14
34.0,Yes,Travel_Rarely,22,1,Marketing,Male,Sales Representative,Single,6274.0,Yes,19,4.0,0,0,5.0,0,2.0,16
18.0,Yes,Non-Travel,29,4,Medical,Female,Research Scientist,Single,1514.0,No,22,3.0,0,14,4.0,7,1.0666666666666667,11
38.0,No,Travel_Frequently,3,4,Medical,Male,Research Director,Divorced,2821.0,No,12,3.0,1,9,2.0,2,9.1,12
34.0,Yes,Travel_Frequently,2,3,Life Sciences,Male,Research Scientist,Married,5343.0,Yes,14,4.0,1,6,2.0,2,6.142857142857143,10
35.0,No,Travel_Rarely,10,2,Life Sciences,Male,Manufacturing Director,Divorced,4581.0,No,21,4.0,2,9,2.0,7,1.1,13
42.0,No,Travel_Rarely,27,4,Life Sciences,Female,Manufacturing Director,Married,5231.0,No,16,3.0,1,17,1.0,7,2.0555555555555554,15
27.0,No,Travel_Rarely,16,4,Life Sciences,Male,Sales Executive,Divorced,6142.0,No,14,4.0,1,18,0.0,7,8.052631578947368,15
20.0,No,Travel_Rarely,10,3,Medical,Male,Sales Executive,Single,1009.0,No,13,3.0,0,5,5.0,3,1.1666666666666667,14
46.0,No,Non-Travel,1,2,Life Sciences,Male,Research Scientist,Married,7991.0,No,22,3.0,1,1,3.0,0,1.5,17
37.0,Yes,Travel_Rarely,20,2,Marketing,Female,Sales Representative,Single,6474.0,Yes,22,3.0,0,4,2.0,3,1.2,13
24.0,No,Travel_Rarely,15,4,Life Sciences,Female,Research Director,Married,3839.7428571428572,Yes,14,3.0,0,23,6.0,2,2.0416666666666665,12
46.0,No,Travel_Rarely,18,4,Medical,Male,Healthcare Representative,Married,5562.0,Yes,14,3.0,2,17,2.0,7,3.0555555555555554,15
40.0,No,Travel_Rarely,15,3,Medical,Female,Research Director,Divorced,2213.0,No,14,3.0,2,16,3.0,8,7.0588235294117645,12
50.0,No,Travel_Frequently,2,3,Life Sciences,Female,Research Scientist,Single,9208.0,No,13,3.0,0,9,3.0,8,1.1,16
56.0,No,Travel_Rarely,27,3,Life Sciences,Male,Manufacturing Director,Married,13402.0,No,11,3.0,1,18,0.0,7,8.052631578947368,13
18.0,No,Travel_Rarely,20,4,Medical,Female,Manufacturing Director,Married,1200.0,No,14,3.0,0,16,2.0,11,1.0588235294117647,12
35.0,No,Travel_Rarely,9,3,Life Sciences,Male,Manager,Single,5986.83193277311,No,13,4.0,0,21,2.0,0,2.0454545454545454,16
33.0,No,Travel_Rarely,15,2,Marketing,Female,Sales Executive,Divorced,6949.0,No,11,3.0,1,12,2.0,7,2.076923076923077,10
27.0,No,Non-Travel,2,4,Life Sciences,Male,Manufacturing Director,Married,6349.0,No,13,3.0,1,13,0.0,9,6.071428571428571,12
36.0,No,Travel_Rarely,7,4,Medical,Female,Manufacturing Director,Single,5986.83193277311,Yes,14,4.0,0,11,2.0,9,1.0833333333333333,15
43.0,No,Travel_Rarely,2,4,Technical Degree,Male,Research Director,Married,7847.0,No,12,3.0,1,16,3.0,3,9.058823529411764,9
28.0,Yes,Travel_Rarely,10,3,Life Sciences,Female,Sales Executive,Married,3660.0,No,21,3.0,3,14,4.0,7,5.066666666666666,14
40.0,No,Travel_Rarely,9,3,Marketing,Male,Sales Representative,Married,5473.0,No,19,3.0,1,3,5.0,2,0.25,13
31.0,No,Travel_Rarely,29,1,Life Sciences,Female,Manufacturing Director,Married,2109.0,No,14,3.0,2,8,3.0,6,1.1111111111111112,10
49.0,Yes,Travel_Rarely,2,1,Medical,Female,Sales Executive,Single,16413.0,No,16,3.0,0,12,2.0,7,4.076923076923077,15
35.0,No,Travel_Rarely,3,3,Medical,Male,Laboratory Technician,Married,3407.0,Yes,20,3.0,3,12,2.0,0,4.076923076923077,11
41.0,Yes,Travel_Rarely,9,2,Life Sciences,Male,Sales Representative,Married,4766.0,No,12,3.0,0,6,2.0,2,3.142857142857143,8
37.0,No,Travel_Rarely,2,4,Life Sciences,Female,Manager,Divorced,7861.0,No,14,3.0,3,29,4.0,2,6.033333333333333,14
36.0,No,Travel_Frequently,8,4,Life Sciences,Male,Manager,Single,5562.0,No,14,3.0,0,36,3.0,3,6.027027027027027,13
36.0,Yes,Travel_Rarely,26,4,Life Sciences,Male,Sales Executive,Married,2741.0,No,14,3.0,2,5,4.0,1,2.1666666666666665,12
39.0,No,Travel_Rarely,15,4,Other,Male,Research Scientist,Married,13464.0,No,12,4.0,1,10,2.0,2,8.090909090909092,13
43.0,No,Travel_Rarely,27,1,Medical,Female,Research Scientist,Single,2645.0,No,11,3.0,0,6,2.0,5,1.1428571428571428,12
49.0,Yes,Travel_Frequently,8,3,Life Sciences,Male,Research Scientist,Single,19161.0,No,12,3.0,0,1,3.0,0,1.5,12
31.0,No,Travel_Rarely,2,1,Medical,Female,Research Scientist,Single,6812.0,Yes,14,3.0,0,8,2.0,1,5.111111111111111,16
33.0,Yes,Non-Travel,2,1,Marketing,Female,Sales Representative,Divorced,2342.0,No,11,3.0,1,5,2.0,3,0.16666666666666666,12
41.0,No,Travel_Rarely,6,3,Life Sciences,Female,Healthcare Representative,Divorced,3376.0,No,23,3.0,1,15,2.0,11,3.0625,14
37.0,No,Travel_Rarely,10,4,Life Sciences,Male,Research Director,Single,10793.0,Yes,11,3.0,0,22,5.0,2,9.043478260869565,14
50.0,No,Travel_Rarely,1,2,Life Sciences,Male,Manufacturing Director,Married,19144.0,No,11,3.0,0,9,4.0,7,1.1,14
34.0,No,Non-Travel,4,1,Medical,Male,Sales Representative,Single,4568.0,No,19,4.0,0,5,2.0,0,3.1666666666666665,12
37.0,No,Travel_Rarely,1,4,Life Sciences,Male,Healthcare Representative,Married,1081.0,No,22,3.0,1,22,3.0,3,1.0434782608695652,13
55.0,Yes,Travel_Rarely,15,3,Medical,Male,Healthcare Representative,Married,10239.0,No,11,3.0,1,10,4.0,7,1.0909090909090908,15
60.0,No,Travel_Rarely,16,4,Life Sciences,Female,Research Scientist,Single,10545.035714285714,No,16,3.0,0,6,5.0,2,1.1428571428571428,15
45.0,No,Travel_Rarely,28,4,Life Sciences,Female,Laboratory Technician,Married,18824.0,Yes,12,3.0,1,15,2.0,14,1.0625,13
27.0,Yes,Travel_Rarely,21,3,Other,Male,Sales Representative,Single,3839.7428571428572,Yes,13,3.0,0,1,5.0,0,1.5,14
41.0,No,Non-Travel,5,2,Technical Degree,Female,Laboratory Technician,Single,6811.0,No,14,3.0,0,7,3.0,5,0.125,12
26.0,No,Travel_Rarely,1,3,Life Sciences,Female,Healthcare Representative,Single,3839.7428571428572,No,14,4.0,0,6,2.0,0,0.14285714285714285,12
37.0,No,Travel_Rarely,2,5,Life Sciences,Male,Manager,Married,2632.0,No,16,3.0,1,22,2.0,16,7.043478260869565,11
43.0,No,Travel_Rarely,7,3,Life Sciences,Male,Laboratory Technician,Single,19740.0,No,11,3.0,0,15,2.0,3,2.0625,12
29.0,Yes,Travel_Rarely,1,3,Medical,Male,Research Scientist,Married,2362.0,Yes,16,3.0,1,6,2.0,0,2.142857142857143,12
29.0,No,Travel_Frequently,1,3,Medical,Male,Sales Executive,Single,2720.0,No,12,3.0,0,7,5.0,7,1.125,11
40.0,No,Travel_Rarely,2,3,Medical,Male,Manufacturing Director,Single,3319.0,Yes,24,3.0,0,12,2.0,0,5.076923076923077,13
35.0,No,Non-Travel,8,2,Life Sciences,Male,Research Director,Married,9884.0,Yes,12,3.0,3,9,3.0,7,0.1,12
37.0,No,Travel_Rarely,1,4,Life Sciences,Female,Sales Executive,Single,5986.83193277311,No,13,3.0,0,15,2.0,0,6.0625,12
54.0,No,Travel_Rarely,7,3,Life Sciences,Male,Sales Executive,Single,10725.0,No,14,3.0,0,5,1.0,2,0.16666666666666666,14
39.0,Yes,Travel_Rarely,2,4,Life Sciences,Male,Laboratory Technician,Single,4553.0,No,11,3.0,0,5,4.0,0,2.1666666666666665,11
39.0,No,Travel_Rarely,9,4,Medical,Male,Research Scientist,Divorced,6120.0,Yes,14,3.0,1,3,2.0,1,8.25,16
37.0,Yes,Travel_Frequently,9,3,Marketing,Female,Sales Executive,Single,2973.0,No,13,3.0,0,7,2.0,3,8.125,9
28.0,No,Travel_Rarely,8,3,Life Sciences,Male,Manager,Divorced,1563.0,No,13,3.0,1,24,2.0,7,1.04,13
34.0,No,Travel_Frequently,10,3,Medical,Male,Manufacturing Director,Single,5986.83193277311,Yes,19,3.0,0,9,3.0,2,6.1,14
45.0,No,Travel_Rarely,1,2,Life Sciences,Male,Research Scientist,Single,9380.0,No,12,3.0,0,4,4.0,2,0.2,18
24.0,Yes,Travel_Frequently,2,5,Technical Degree,Male,Manufacturing Director,Married,2145.0,No,16,3.0,1,34,2.0,7,0.02857142857142857,14
41.0,Yes,Travel_Frequently,14,1,Other,Male,Healthcare Representative,Single,19419.0,Yes,12,3.0,0,9,2.0,7,0.1,14
27.0,No,Travel_Rarely,10,4,Medical,Female,Healthcare Representative,Single,3517.0,Yes,16,3.0,0,10,2.0,2,3.090909090909091,13
28.0,No,Travel_Rarely,4,4,Other,Male,Laboratory Technician,Married,4382.0,No,13,3.0,1,2,2.0,2,1.3333333333333333,16
29.0,No,Non-Travel,14,2,Life Sciences,Male,Research Director,Married,4649.0,No,24,3.0,1,22,3.0,1,6.043478260869565,12
52.0,No,Travel_Rarely,22,4,Other,Female,Research Director,Married,19845.0,No,16,3.0,2,27,2.0,2,3.0357142857142856,11
44.0,Yes,Travel_Rarely,2,3,Life Sciences,Female,Laboratory Technician,Married,9228.730569948186,Yes,13,3.0,1,7,1.0,2,6.125,13
27.0,No,Travel_Rarely,8,1,Medical,Male,Healthcare Representative,Divorced,2539.0,Yes,15,3.0,1,34,0.0,9,1.0285714285714285,15
55.0,No,Travel_Rarely,10,1,Life Sciences,Male,Research Scientist,Divorced,5160.0,Yes,13,3.0,2,6,3.0,3,0.14285714285714285,12
29.0,No,Travel_Rarely,2,4,Technical Degree,Female,Healthcare Representative,Single,2800.0,No,11,3.0,0,20,3.0,7,1.0476190476190477,13
52.0,No,Travel_Rarely,1,4,Medical,Female,Manufacturing Director,Married,13247.0,Yes,20,3.0,3,27,2.0,2,4.035714285714286,12
53.0,No,Travel_Rarely,2,3,Life Sciences,Female,Healthcare Representative,Married,10934.0,No,19,3.0,3,11,2.0,10,1.0833333333333333,13
37.0,No,Travel_Rarely,19,1,Medical,Male,Research Scientist,Married,5986.83193277311,No,24,4.0,2,2,3.0,2,1.3333333333333333,14
38.0,No,Travel_Rarely,5,4,Technical Degree,Female,Research Scientist,Married,5986.83193277311,Yes,12,3.0,1,6,4.0,2,0.14285714285714285,16
30.0,Yes,Travel_Rarely,19,3,Medical,Male,Research Scientist,Divorced,3839.7428571428572,Yes,12,3.0,0,7,2.0,2,6.125,17
37.0,Yes,Travel_Frequently,2,4,Medical,Male,Research Scientist,Single,5968.0,No,17,4.0,0,5,2.0,2,6.166666666666667,15
51.0,No,Travel_Rarely,19,3,Medical,Female,Laboratory Technician,Divorced,13116.0,No,13,3.0,2,15,2.0,8,4.0625,15
24.0,No,Non-Travel,16,2,Life Sciences,Male,Research Scientist,Divorced,2694.0,No,16,3.0,1,6,4.0,2,9.142857142857142,14
28.0,No,Travel_Rarely,2,3,Life Sciences,Male,Research Scientist,Single,4936.0,Yes,11,3.0,0,6,6.0,2,5.142857142857143,17
42.0,No,Travel_Rarely,12,3,Technical Degree,Male,Sales Executive,Single,4841.0,No,11,3.0,0,6,3.0,4,0.14285714285714285,13
54.0,No,Travel_Rarely,3,3,Life Sciences,Female,Research Scientist,Married,17328.0,No,21,3.0,0,1,3.0,0,1.5,12
39.0,No,Travel_Rarely,1,3,Life Sciences,Female,Manufacturing Director,Married,6389.0,No,12,3.0,2,5,3.0,2,0.16666666666666666,14
37.0,No,Travel_Rarely,7,3,Life Sciences,Female,Sales Executive,Married,5986.83193277311,No,14,3.0,1,13,3.0,8,1.0714285714285714,14
31.0,No,Non-Travel,2,4,Marketing,Female,Sales Representative,Married,9852.0,Yes,20,3.0,2,20,5.0,2,2.0476190476190474,10
31.0,Yes,Travel_Frequently,17,4,Life Sciences,Male,Human Resources,Divorced,2791.0,Yes,11,3.0,1,8,4.0,7,0.1111111111111111,12
29.0,No,Travel_Rarely,1,3,Medical,Female,Research Scientist,Married,3839.7428571428572,No,25,3.0,1,3,3.0,2,1.25,13
37.0,Yes,Travel_Rarely,2,3,Technical Degree,Female,Research Scientist,Single,7491.0,No,24,3.0,0,7,3.0,0,4.125,14
